"id","name","description"
"education_level_0","0","Saknar formell grundläggande utbildning"
"education_level_1","1","Förgymnasial utbildning kortare än 9 år"
"education_level_2","2","Förgymnasial utbildning 9 (10) år"
"education_level_3","3","Gymnasial utbildning"
"education_level_4","4","Eftergymnasial utbildning, kortare än två år"
"education_level_5","5","Eftergymnasial utbildning, två år eller längre"
"education_level_6","6","Forskarutbildning"
