Externt ID;Namn;Official Code;
32.4;Tillverkning av spel och leksaker;32.4;
32.5;Tillverkning av medicinsk och dental utrustning;32.5;
32.9;Övrig tillverkning;32.9;
33.1;Reparation av metallvaror, maskiner och apparater;33.1;
33.2;Installation av industrimaskiner och -utrustning;33.2;
35.1;Generering, överföring och distribution av elkraft;35.1;
35.2;"Gasförsörjning; distribution av gasformiga bränslen via rörnät";35.2;
35.3;Försörjning av värme och kyla;35.3;
36.0;Vattenförsörjning;36.0;
37.0;Avloppsrening;37.0;
38.1;Insamling av avfall;38.1;
38.2;Behandling och bortskaffande av avfall;38.2;
38.3;Återvinning;38.3;
39.0;Sanering, efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning;39.0;
41.1;Utformning av byggprojekt;41.1;
41.2;Byggande av bostadshus och andra byggnader;41.2;
42.1;Anläggning av vägar och järnvägar;42.1;
42.2;Allmännyttiga anläggningsarbeten;42.2;
42.9;Andra anläggningsarbeten;42.9;
43.1;Rivning av hus samt mark- och grundarbeten;43.1;
43.2;Elinstallationer, VVS-arbeten och andra bygginstallationer;43.2;
43.3;Slutbehandling av byggnader;43.3;
43.9;Annan specialiserad bygg- och anläggningsverksamhet;43.9;
45.1;Handel med motorfordon utom motorcyklar;45.1;
45.2;Underhåll och reparation av motorfordon utom motorcyklar;45.2;
45.3;Handel med reservdelar och tillbehör till motorfordon utom motorcyklar;45.3;
45.4;Handel med och service av motorcyklar inklusive reservdelar och tillbehör;45.4;
46.1;Provisionshandel utom med motorfordon;46.1;
46.2;Partihandel med jordbruksråvaror och levande djur;46.2;
46.3;Partihandel med livsmedel, drycker och tobak;46.3;
46.4;Partihandel med hushållsvaror;46.4;
46.5;Partihandel med informations- och kommunikationsutrustning;46.5;
46.6;Partihandel med övriga maskiner och övrig utrustning;46.6;
46.7;Annan specialiserad partihandel;46.7;
46.9;Övrig partihandel;46.9;
47.1;Detaljhandel med brett sortiment;47.1;
47.2;Specialiserad butikshandel med livsmedel, drycker och tobak;47.2;
47.3;Specialiserad detaljhandel med drivmedel;47.3;
47.4;Specialiserad butikshandel med informations- och kommunikationsutrustning;47.4;
47.5;Specialiserad butikshandel med heminredningsartiklar och husgeråd;47.5;
47.6;Specialiserad butikshandel med kultur- och fritidsartiklar;47.6;
47.7;Övrig specialiserad butikshandel med hushållsvaror;47.7;
47.8;Torg- och marknadshandel;47.8;
47.9;Detaljhandel ej i butik, på torg eller marknad;47.9;
49.1;Järnvägstransport, passagerartrafik;49.1;
49.2;Järnvägstransport, godstrafik;49.2;
49.3;Annan landtransport, passagerartrafik;49.3;
49.4;Vägtransport, godstrafik och flyttjänster;49.4;
49.5;Transport i rörsystem;49.5;
50.1;Havs- och kustsjöfart, passagerartrafik;50.1;
50.2;Havs- och kustsjöfart, godstrafik;50.2;
50.3;Sjöfart på inre vattenvägar, passagerartrafik;50.3;
50.4;Sjöfart på inre vattenvägar, godstrafik;50.4;
51.1;Lufttransport, passagerartrafik;51.1;
51.2;Lufttransport, godstrafik och rymdfart;51.2;
52.1;Magasinering och varulagring;52.1;
52.2;Stödtjänster till transport;52.2;
53.1;Postbefordran via nationella posten;53.1;
53.2;Annan postbefordran samt kurirverksamhet;53.2;
55.1;Hotellverksamhet;55.1;
55.2;Semesterbostäder och annan korttidsinkvartering;55.2;
55.3;Campingplatsverksamhet;55.3;
55.9;Annan logiverksamhet;55.9;
56.1;Restaurangverksamhet;56.1;
56.2;Cateringverksamhet;56.2;
56.3;Barverksamhet;56.3;
58.1;Utgivning av böcker och tidskrifter och annan förlagsverksamhet;58.1;
58.2;Utgivning av programvara;58.2;
59.1;Film-, video- och TV-programverksamhet;59.1;
59.2;Ljudinspelning och fonogramutgivning;59.2;
60.1;Sändning av radioprogram;60.1;
60.2;Planering av TV-program och sändningsverksamhet;60.2;
61.1;Trådbunden telekommunikation;61.1;
61.2;Trådlös telekommunikation;61.2;
61.3;Telekommunikation via satellit;61.3;
61.9;Annan telekommunikation;61.9;
62.0;Dataprogrammering, datakonsultverksamhet o.d.;62.0;
63.1;"Databehandling, hosting o.d.; webbportaler";63.1;
63.9;Andra informationstjänster;63.9;
64.1;Monetär finansförmedling;64.1;
64.2;Holdingverksamhet;64.2;
64.3;Fonder och liknande finansiella enheter;64.3;
64.9;Andra finansiella tjänster utom försäkring och pensionsfondsverksamhet;64.9;
65.1;Försäkring;65.1;
65.2;Återförsäkring;65.2;
65.3;Pensionsfondsverksamhet;65.3;
66.1;Stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet;66.1;
66.2;Stödtjänster till försäkrings- och pensionsfondsverksamhet;66.2;
66.3;Fondförvaltning;66.3;
68.1;Handel med egna fastigheter;68.1;
68.2;Uthyrning och förvaltning av egna eller arrenderade fastigheter;68.2;
68.3;Fastighetsförmedling och fastighetsförvaltning på uppdrag;68.3;
69.1;Juridisk verksamhet;69.1;
69.2;Redovisning och bokföring, revision, skatterådgivning;69.2;
70.1;Verksamheter som utövas av huvudkontor;70.1;
70.2;Konsulttjänster till företag;70.2;
71.1;Arkitekt- och teknisk konsultverksamhet o.d.;71.1;
71.2;Teknisk provning och analys;71.2;
72.1;Naturvetenskaplig och teknisk forskning och utveckling;72.1;
72.2;Samhällsvetenskaplig och humanistisk forskning och utveckling;72.2;
73.1;Reklamverksamhet;73.1;
73.2;Marknads- och opinionsundersökning;73.2;
74.1;Specialiserad designverksamhet;74.1;
74.2;Fotoverksamhet;74.2;
74.3;Översättning och tolkning;74.3;
74.9;Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik;74.9;
75.0;Veterinärverksamhet;75.0;
77.1;Uthyrning och leasing av motorfordon;77.1;
77.2;Uthyrning och leasing av hushållsartiklar och varor för personligt bruk;77.2;
77.3;Uthyrning och leasing av annan utrustning och andra maskiner och materiella tillgångar;77.3;
77.4;Leasing av immateriell egendom och liknande produkter, med undantag för upphovsrättsskyddade verk;77.4;
78.1;Arbetsförmedling och rekrytering;78.1;
78.2;Personaluthyrning;78.2;
78.3;Övrigt tillhandahållande av personalfunktioner;78.3;
79.1;Resetjänster;79.1;
79.9;Turist- och bokningsservice;79.9;
80.1;Säkerhetsverksamhet;80.1;
80.2;Säkerhetssystemtjänster;80.2;
80.3;Spanings- och detektivverksamhet;80.3;
81.1;Fastighetsrelaterade stödtjänster;81.1;
81.2;Rengöring och lokalvård;81.2;
81.3;Skötsel och underhåll av grönytor;81.3;
82.1;Kontorstjänster;82.1;
82.2;Callcenterverksamhet;82.2;
82.3;Arrangemang av kongresser och mässor;82.3;
82.9;Andra företagstjänster;82.9;
84.1;Offentlig förvaltning;84.1;
84.2;Offentliga tjänster;84.2;
84.3;Obligatorisk socialförsäkring;84.3;
85.1;Förskoleutbildning;85.1;
85.2;Grundskoleutbildning;85.2;
85.3;Gymnasial utbildning;85.3;
85.4;Eftergymnasial utbildning;85.4;
85.5;Vuxenutbildning och övrig utbildning;85.5;
85.6;Stödverksamhet för utbildningsväsendet;85.6;
86.1;Sluten sjukvård;86.1;
86.2;Öppen hälso- och sjukvård, tandvård;86.2;
86.9;Annan hälso- och sjukvård;86.9;
87.1;Boende med sjuksköterskevård;87.1;
87.2;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;87.2;
87.3;Vård och omsorg i särskilda boendeformer för äldre och funktionshindrade personer;87.3;
87.9;Annan vård och omsorg med boende;87.9;
88.1;Öppna sociala insatser för äldre och funktionshindrade personer;88.1;
88.9;Andra öppna sociala insatser;88.9;
90.0;Konstnärlig och kulturell verksamhet samt underhållningsverksamhet;90.0;
91.0;Biblioteks-, arkiv- och museiverksamhet m.m.;91.0;
92.0;Spel- och vadhållningsverksamhet;92.0;
93.1;Sportverksamhet;93.1;
93.2;Fritids- och nöjesverksamhet;93.2;
94.1;Intressebevakning inom bransch-, arbetsgivar- och yrkesorganisationer;94.1;
94.2;Intressebevakning inom arbetstagarorganisationer;94.2;
94.9;Verksamhet i religiösa samfund och i andra intresseorganisationer;94.9;
95.1;Reparation av datorer och kommunikationsutrustning;95.1;
95.2;Reparation av hushållsartiklar och personliga artiklar;95.2;
96.0;Andra konsumenttjänster;96.0;
97.0;Förvärvsarbete i hushåll;97.0;
98.1;Hushållens produktion av diverse varor för eget bruk;98.1;
98.2;Hushållens produktion av diverse tjänster för eget bruk;98.2;
99.0;Verksamhet vid internationella organisationer, utländska ambassader o.d.;99.0;
