"id","parent_id/id","code","name"
"sni_105","","105","Mejerivaru- och glasstillverkning"
"sni_106","","106","Tillverkning av kvarnprodukter och stärkelse"
"sni_107","","107","Tillverkning av bageri- och mjölprodukter"
"sni_108","","108","Annan livsmedelsframställning"
"sni_109","","109","Framställning av beredda djurfoder"
"sni_110","","110","Framställning av drycker"
"sni_120","","120","Tobaksvarutillverkning"
"sni_131","","131","Garntillverkning"
"sni_132","","132","Vävnadstillverkning"
"sni_133","","133","Blekning, färgning och annan textilberedning"
"sni_139","","139","Annan textilietillverkning"
"sni_141","","141","Tillverkning av kläder, utom pälsvaror"
"sni_142","","142","Tillverkning av pälsvaror"
"sni_143","","143","Tillverkning av trikåvaror"
"sni_151","","151","Garvning och annan läderberedning; tillverkning av reseffekter, handväskor, sadel- och seldon; pälsberedning"
"sni_152","","152","Tillverkning av skodon"
"sni_161","","161","Sågning och hyvling av trä"
"sni_162","","162","Tillverkning av varor av trä, kork, halm, rotting o.d."
"sni_171","","171","Massa-, pappers- och papptillverkning"
"sni_172","","172","Tillverkning av pappers- och pappvaror"
"sni_181","","181","Grafisk produktion"
"sni_182","","182","Reproduktion av inspelningar"
"sni_191","","191","Tillverkning av stenkolsprodukter"
"sni_192","","192","Petroleumraffinering"
"sni_201","","201","Tillverkning av baskemikalier, gödselmedel och kväveprodukter, plaster och syntetgummi i obearbetad form"
"sni_202","","202","Tillverkning av bekämpningsmedel och andra lantbrukskemiska produkter"
"sni_203","","203","Tillverkning av färg, lack, tryckfärg m.m."
"sni_204","","204","Tillverkning av rengöringsmedel, parfym och toalettartiklar"
"sni_205","","205","Tillverkning av andra kemiska produkter"
"sni_206","","206","Konstfibertillverkning"
"sni_211","","211","Tillverkning av farmaceutiska basprodukter"
"sni_212","","212","Tillverkning av läkemedel"
"sni_221","","221","Tillverkning av gummivaror"
"sni_222","","222","Plastvarutillverkning"
"sni_231","","231","Glas- och glasvarutillverkning"
"sni_232","","232","Tillverkning av eldfasta produkter"
"sni_233","","233","Tillverkning av byggmaterial av lergods"
"sni_234","","234","Tillverkning av andra porslinsprodukter och keramiska produkter"
"sni_235","","235","Tillverkning av cement, kalk och gips"
"sni_236","","236","Tillverkning av varor av betong, cement och gips"
"sni_237","","237","Huggning, formning och slutlig bearbetning av sten"
"sni_239","","239","Tillverkning av slipmedel och övriga icke-metalliska mineraliska produkter"
