id;parent_id/is;code;name;;;;
ssyk_173;ssyk_17;173; Chefer inom handel;;;;
ssyk_174;ssyk_17;174; Chefer inom friskvård, sport och fritid;;;;
ssyk_179;ssyk_17;179; Chefer inom övrig servicenäring;;;;
ssyk_210;ssyk_2;0210; Specialistofficerare;;;;
ssyk_211;ssyk_21;211; Fysiker och kemister m.fl.;;;;
ssyk_212;ssyk_21;212; Matematiker, aktuarier och statistiker;;;;
ssyk_213;ssyk_21;213; Biologer, farmakologer och specialister inom lant- och skogsbruk m.fl.;;;;
ssyk_214;ssyk_21;214; Civilingenjörsyrken;;;;
ssyk_215;ssyk_21;215; UTGÅR[];;;;
ssyk_216;ssyk_21;216; Arkitekter och lantmätare;;;;
ssyk_217;ssyk_21;217; Designer och formgivare;;;;
ssyk_218;ssyk_21;218; Specialister inom miljö- och hälsoskydd;;;;
ssyk_221;ssyk_22;221; Läkare;;;;
ssyk_222;ssyk_22;222; Sjuksköterskor;;;;
ssyk_223;ssyk_22;223; Sjuksköterskor (fortsättning);;;;
ssyk_224;ssyk_22;224; Psykologer och psykoterapeuter;;;;
ssyk_225;ssyk_22;225; Veterinärer;;;;
ssyk_226;ssyk_22;226; Tandläkare;;;;
ssyk_227;ssyk_22;227; Naprapater, sjukgymnaster och arbetsterapeuter m.fl.;;;;
ssyk_228;ssyk_22;228; Andra specialister inom hälso- och sjukvård;;;;
ssyk_231;ssyk_23;231; Universitets- och högskollärare;;;;
ssyk_232;ssyk_23;232; Lärare i yrkesämnen;;;;
ssyk_233;ssyk_23;233; Gymnasielärare;;;;
ssyk_234;ssyk_23;234; Grundskollärare, fritidspedagoger och förskollärare;;;;
ssyk_235;ssyk_23;235; Andra pedagoger med teoretisk specialistkompetens;;;;
ssyk_241;ssyk_24;241; Revisorer, finansanalytiker och fondförvaltare m.fl.;;;;
ssyk_242;ssyk_24;242; Organisationsutvecklare, utredare och HR-specialister m.fl.;;;;
ssyk_243;ssyk_24;243; Marknadsförare och informatörer m.fl.;;;;
ssyk_251;ssyk_25;251; IT-arkitekter, systemutvecklare och testledare m.fl.;;;;
ssyk_252;ssyk_25;252; UTGÅR[];;;;
ssyk_261;ssyk_26;261; Jurister;;;;
ssyk_262;ssyk_26;262; Museiintendenter och bibliotekarier m.fl.;;;;
ssyk_263;ssyk_26;263; Utgår[];;;;
ssyk_264;ssyk_26;264; Författare, journalister och tolkar m.fl.;;;;
ssyk_265;ssyk_26;265; Konstnärer, musiker och skådespelare m.fl.;;;;
ssyk_266;ssyk_26;266; Socialsekreterare och kuratorer m.fl.;;;;
ssyk_267;ssyk_26;267; Präster och diakoner;;;;
ssyk_310;ssyk_3;0310; Soldater m.fl.;;;;
ssyk_311;ssyk_31;311; Ingenjörer och tekniker;;;;
ssyk_312;ssyk_31;312; Arbetsledare inom bygg och tillverkning m.m.;;;;
ssyk_313;ssyk_31;313; UTGÅR[];;;;
ssyk_314;ssyk_31;314; UTGÅR[];;;;
ssyk_315;ssyk_31;315; Piloter, fartygs- och maskinbefäl m.fl.;;;;
ssyk_321;ssyk_32;321; Biomedicinska analytiker, tandtekniker och laboratorieingenjörer m.fl.;;;;
ssyk_322;ssyk_32;322; UTGÅR[];;;;
ssyk_323;ssyk_32;323; Terapeuter inom alternativmedicin;;;;
ssyk_324;ssyk_32;324; Djursjukskötare;;;;
ssyk_325;ssyk_32;325; Tandhygienister;;;;
ssyk_331;ssyk_33;331; Banktjänstemän och redovisningsekonomer m.fl.;;;;
ssyk_332;ssyk_33;332; Försäkringsrådgivare, företagssäljare och inköpare m.fl.;;;;
ssyk_333;ssyk_33;333; Förmedlare m.fl.;;;;
ssyk_334;ssyk_33;334; Juristsekreterare, chefssekreterare och institutionssekreterare m.fl.;;;;
ssyk_335;ssyk_33;335; Skatte- och socialförsäkringshandläggare m.fl.;;;;
ssyk_336;ssyk_33;336; Poliser;;;;
ssyk_341;ssyk_34;341;Behandlingsassistenter och pastorer;;;;
ssyk_342;ssyk_34;342; Idrottsutövare och fritidsledare m.fl.;;;;
ssyk_343;ssyk_34;343; Fotografer, dekoratörer och underhållningsartister m.fl.;;;;
ssyk_344;ssyk_34;344; Trafiklärare och instruktörer;;;;
ssyk_345;ssyk_34;345; Köksmästare och souschefer;;;;
ssyk_351;ssyk_35;351; Drift-, support- och nätverkstekniker m.fl.;;;;
ssyk_352;ssyk_35;352; Bild-, ljud- och ljustekniker m.fl.;;;;
ssyk_411;ssyk_41;411; Kontorsassistenter och sekreterare;;;;
ssyk_421;ssyk_42;421; Croupierer och inkasserare;;;;
ssyk_422;ssyk_42;422; Resesäljare, kundtjänstpersonal och receptionister m.fl.;;;;
ssyk_431;ssyk_43;431; Utgår[];;;;
ssyk_432;ssyk_43;432; Lagerpersonal och transportledare m.fl.;;;;
ssyk_441;ssyk_44;441; Biblioteks- och arkivassistenter m.fl.;;;;
ssyk_442;ssyk_44;442; Brevbärare och postterminalarbetare;;;;
ssyk_443;ssyk_44;443; Övrig kontorspersonal;;;;
ssyk_511;ssyk_51;511; Kabinpersonal, tågmästare och guider m.fl.;;;;
ssyk_512;ssyk_51;512; Kockar och kallskänkor;;;;
ssyk_513;ssyk_51;513; Hovmästare, servitörer och bartendrar;;;;
ssyk_514;ssyk_51;514; Skönhets- och kroppsterapeuter;;;;
ssyk_515;ssyk_51;515; Städledare och fastighetsskötare m.fl.;;;;
ssyk_516;ssyk_51;516; Övrig servicepersonal;;;;
ssyk_521;ssyk_52;521; UTGÅR[];;;;
ssyk_522;ssyk_52;522; Butikspersonal;;;;
ssyk_523;ssyk_52;523; Kassapersonal m.fl.;;;;
ssyk_524;ssyk_52;524; Eventsäljare och telefonförsäljare m.fl.;;;;
ssyk_531;ssyk_53;531; Barnskötare och elevassistenter m.fl.;;;;
ssyk_532;ssyk_53;532; Undersköterskor;;;;
ssyk_533;ssyk_53;533; Vårdbiträden;;;;
ssyk_534;ssyk_53;534; Skötare, vårdare och personliga assistenter m.fl.;;;;
ssyk_535;ssyk_53;535; Tandsköterskor;;;;
ssyk_541;ssyk_54;541; Andra bevaknings- och säkerhetsyrken;;;;
ssyk_611;ssyk_61;611; Växtodlare inom jordbruk och trädgård;;;;
ssyk_612;ssyk_61;612; Djuruppfödare och djurskötare;;;;
ssyk_613;ssyk_61;613; Växtodlare och djuruppfödare, blandad drift;;;;
ssyk_621;ssyk_62;621; Skogsarbetare;;;;
ssyk_622;ssyk_62;622; Fiskodlare och fiskare;;;;
ssyk_711;ssyk_71;711; Snickare, murare och anläggningsarbetare;;;;
ssyk_712;ssyk_71;712; Takmontörer, golvläggare och VVS-montörer m.fl.;;;;
