id,parent_id/id,code,name,description
ssyk_96,ssyk_9,96,96  Återvinningsarbetare, tidningsdistributörer och övriga servicearbetare, Återvinningsarbetare, tidningsdistributörer och övriga servicearbetare
ssyk_111,ssyk_11,111,111  Politiker och högre ämbetsmän, Politiker och högre ämbetsmän
ssyk_112,ssyk_11,112,112  Verkställande direktörer m.fl., Verkställande direktörer m.fl.
ssyk_121,ssyk_12,121,121  Ekonomi- och finanschefer, Ekonomi- och finanschefer
ssyk_122,ssyk_12,122,122  Personal- och HR-chefer, Personal- och HR-chefer
ssyk_123,ssyk_12,123,123  Förvaltnings- och planeringschefer, Förvaltnings- och planeringschefer
ssyk_124,ssyk_12,124,124  Informations-, kommunikations- och PR-chefer, Informations-, kommunikations- och PR-chefer
ssyk_125,ssyk_12,125,125  Försäljnings- och marknadschefer, Försäljnings- och marknadschefer
ssyk_129,ssyk_12,129,129  Övriga administrations- och servicechefer, Övriga administrations- och servicechefer
ssyk_131,ssyk_13,131,131  IT-chefer, IT-chefer
ssyk_132,ssyk_13,132,132  Inköps-, logistik- och transportchefer, Inköps-, logistik- och transportchefer
ssyk_133,ssyk_13,133,133  Forsknings- och utvecklingschefer, Forsknings- och utvecklingschefer
ssyk_134,ssyk_13,134,134  Chefer inom arkitekt- och ingenjörsverksamhet, Chefer inom arkitekt- och ingenjörsverksamhet
ssyk_135,ssyk_13,135,135  Fastighets- och förvaltningschefer, Fastighets- och förvaltningschefer
ssyk_136,ssyk_13,136,136  Driftchefer inom bygg, anläggning och gruva, Driftchefer inom bygg, anläggning och gruva
ssyk_137,ssyk_13,137,137  Produktionschefer inom tillverkning, Produktionschefer inom tillverkning
ssyk_138,ssyk_13,138,138  Förvaltare inom skogsbruk och lantbruk m.fl., Förvaltare inom skogsbruk och lantbruk m.fl.
ssyk_141,ssyk_14,141,141  Chefer inom grund- och gymnasieskola samt vuxenutbildning, Chefer inom grund- och gymnasieskola samt vuxenutbildning
ssyk_142,ssyk_14,142,142  Chefer inom förskoleverksamhet, Chefer inom förskoleverksamhet
ssyk_149,ssyk_14,149,149  Övriga chefer inom utbildning, Övriga chefer inom utbildning
ssyk_151,ssyk_15,151,151  Chefer inom hälso- och sjukvård, Chefer inom hälso- och sjukvård
ssyk_152,ssyk_15,152,152  Chefer inom socialt och kurativt arbete, Chefer inom socialt och kurativt arbete
ssyk_153,ssyk_15,153,153  Chefer inom äldreomsorg, Chefer inom äldreomsorg
ssyk_154,ssyk_15,154,154  Chefer och ledare inom trossamfund, Chefer och ledare inom trossamfund
ssyk_159,ssyk_15,159,159  Övriga chefer inom samhällsservice, Övriga chefer inom samhällsservice
ssyk_161,ssyk_16,161,161  Chefer inom bank, finans och försäkring, Chefer inom bank, finans och försäkring
ssyk_171,ssyk_17,171,171  Hotell- och konferenschefer, Hotell- och konferenschefer
ssyk_172,ssyk_17,172,172  Restaurang- och kökschefer, Restaurang- och kökschefer
ssyk_173,ssyk_17,173,173  Chefer inom handel, Chefer inom handel
ssyk_174,ssyk_17,174,174  Chefer inom friskvård, sport och fritid, Chefer inom friskvård, sport och fritid
ssyk_179,ssyk_17,179,179  Chefer inom övrig servicenäring, Chefer inom övrig servicenäring
ssyk_210,ssyk_2,0210,210  Specialistofficerare, Specialistofficerare
ssyk_211,ssyk_21,211,211  Fysiker och kemister m.fl., Fysiker och kemister m.fl.
ssyk_212,ssyk_21,212,212  Matematiker, aktuarier och statistiker, Matematiker, aktuarier och statistiker
ssyk_213,ssyk_21,213,213  Biologer, farmakologer och specialister inom lant- och skogsbruk m.fl., Biologer, farmakologer och specialister inom lant- och skogsbruk m.fl.
ssyk_214,ssyk_21,214,214  Civilingenjörsyrken, Civilingenjörsyrken
ssyk_215,ssyk_21,215,215  UTGÅR[], UTGÅR[]
ssyk_216,ssyk_21,216,216  Arkitekter och lantmätare, Arkitekter och lantmätare
ssyk_217,ssyk_21,217,217  Designer och formgivare, Designer och formgivare
ssyk_218,ssyk_21,218,218  Specialister inom miljö- och hälsoskydd, Specialister inom miljö- och hälsoskydd
ssyk_221,ssyk_22,221,221  Läkare, Läkare
ssyk_222,ssyk_22,222,222  Sjuksköterskor, Sjuksköterskor
ssyk_223,ssyk_22,223,223  Sjuksköterskor (fortsättning), Sjuksköterskor (fortsättning)
ssyk_224,ssyk_22,224,224  Psykologer och psykoterapeuter, Psykologer och psykoterapeuter
ssyk_225,ssyk_22,225,225  Veterinärer, Veterinärer
ssyk_226,ssyk_22,226,226  Tandläkare, Tandläkare
ssyk_227,ssyk_22,227,227  Naprapater, sjukgymnaster och arbetsterapeuter m.fl., Naprapater, sjukgymnaster och arbetsterapeuter m.fl.
ssyk_228,ssyk_22,228,228  Andra specialister inom hälso- och sjukvård, Andra specialister inom hälso- och sjukvård
ssyk_231,ssyk_23,231,231  Universitets- och högskollärare, Universitets- och högskollärare
ssyk_232,ssyk_23,232,232  Lärare i yrkesämnen, Lärare i yrkesämnen
ssyk_233,ssyk_23,233,233  Gymnasielärare, Gymnasielärare
ssyk_234,ssyk_23,234,234  Grundskollärare, fritidspedagoger och förskollärare, Grundskollärare, fritidspedagoger och förskollärare
ssyk_235,ssyk_23,235,235  Andra pedagoger med teoretisk specialistkompetens, Andra pedagoger med teoretisk specialistkompetens
ssyk_241,ssyk_24,241,241  Revisorer, finansanalytiker och fondförvaltare m.fl., Revisorer, finansanalytiker och fondförvaltare m.fl.
ssyk_242,ssyk_24,242,242  Organisationsutvecklare, utredare och HR-specialister m.fl., Organisationsutvecklare, utredare och HR-specialister m.fl.
ssyk_243,ssyk_24,243,243  Marknadsförare och informatörer m.fl., Marknadsförare och informatörer m.fl.
ssyk_251,ssyk_25,251,251  IT-arkitekter, systemutvecklare och testledare m.fl., IT-arkitekter, systemutvecklare och testledare m.fl.
ssyk_252,ssyk_25,252,252  UTGÅR[], UTGÅR[]
ssyk_261,ssyk_26,261,261  Jurister, Jurister
ssyk_262,ssyk_26,262,262  Museiintendenter och bibliotekarier m.fl., Museiintendenter och bibliotekarier m.fl.
ssyk_263,ssyk_26,263,263  Utgår[], Utgår[]
ssyk_264,ssyk_26,264,264  Författare, journalister och tolkar m.fl., Författare, journalister och tolkar m.fl.
ssyk_265,ssyk_26,265,265  Konstnärer, musiker och skådespelare m.fl., Konstnärer, musiker och skådespelare m.fl.
ssyk_266,ssyk_26,266,266  Socialsekreterare och kuratorer m.fl., Socialsekreterare och kuratorer m.fl.
ssyk_267,ssyk_26,267,267  Präster och diakoner, Präster och diakoner
ssyk_310,ssyk_3,0310,310  Soldater m.fl., Soldater m.fl.
ssyk_311,ssyk_31,311,311  Ingenjörer och tekniker, Ingenjörer och tekniker
ssyk_312,ssyk_31,312,312  Arbetsledare inom bygg och tillverkning m.m., Arbetsledare inom bygg och tillverkning m.m.
ssyk_313,ssyk_31,313,313  UTGÅR[], UTGÅR[]
ssyk_314,ssyk_31,314,314  UTGÅR[], UTGÅR[]
ssyk_315,ssyk_31,315,315  Piloter, fartygs- och maskinbefäl m.fl., Piloter, fartygs- och maskinbefäl m.fl.
ssyk_321,ssyk_32,321,321  Biomedicinska analytiker, tandtekniker och laboratorieingenjörer m.fl., Biomedicinska analytiker, tandtekniker och laboratorieingenjörer m.fl.
ssyk_322,ssyk_32,322,322  UTGÅR[], UTGÅR[]
ssyk_323,ssyk_32,323,323  Terapeuter inom alternativmedicin, Terapeuter inom alternativmedicin
ssyk_324,ssyk_32,324,324  Djursjukskötare, Djursjukskötare
ssyk_325,ssyk_32,325,325  Tandhygienister, Tandhygienister
ssyk_331,ssyk_33,331,331  Banktjänstemän och redovisningsekonomer m.fl., Banktjänstemän och redovisningsekonomer m.fl.
ssyk_332,ssyk_33,332,332  Försäkringsrådgivare, företagssäljare och inköpare m.fl., Försäkringsrådgivare, företagssäljare och inköpare m.fl.
ssyk_333,ssyk_33,333,333  Förmedlare m.fl., Förmedlare m.fl.
ssyk_334,ssyk_33,334,334  Juristsekreterare, chefssekreterare och institutionssekreterare m.fl., Juristsekreterare, chefssekreterare och institutionssekreterare m.fl.
ssyk_335,ssyk_33,335,335  Skatte- och socialförsäkringshandläggare m.fl., Skatte- och socialförsäkringshandläggare m.fl.
ssyk_336,ssyk_33,336,336  Poliser, Poliser
ssyk_341,ssyk_34,341,341 Behandlingsassistenter och pastorer,Behandlingsassistenter och pastorer
ssyk_342,ssyk_34,342,342  Idrottsutövare och fritidsledare m.fl., Idrottsutövare och fritidsledare m.fl.
ssyk_343,ssyk_34,343,343  Fotografer, dekoratörer och underhållningsartister m.fl., Fotografer, dekoratörer och underhållningsartister m.fl.
ssyk_344,ssyk_34,344,344  Trafiklärare och instruktörer, Trafiklärare och instruktörer
ssyk_345,ssyk_34,345,345  Köksmästare och souschefer, Köksmästare och souschefer
ssyk_351,ssyk_35,351,351  Drift-, support- och nätverkstekniker m.fl., Drift-, support- och nätverkstekniker m.fl.
ssyk_352,ssyk_35,352,352  Bild-, ljud- och ljustekniker m.fl., Bild-, ljud- och ljustekniker m.fl.
ssyk_411,ssyk_41,411,411  Kontorsassistenter och sekreterare, Kontorsassistenter och sekreterare
ssyk_421,ssyk_42,421,421  Croupierer och inkasserare, Croupierer och inkasserare
ssyk_422,ssyk_42,422,422  Resesäljare, kundtjänstpersonal och receptionister m.fl., Resesäljare, kundtjänstpersonal och receptionister m.fl.
ssyk_431,ssyk_43,431,431  Utgår[], Utgår[]
ssyk_432,ssyk_43,432,432  Lagerpersonal och transportledare m.fl., Lagerpersonal och transportledare m.fl.
ssyk_441,ssyk_44,441,441  Biblioteks- och arkivassistenter m.fl., Biblioteks- och arkivassistenter m.fl.
ssyk_442,ssyk_44,442,442  Brevbärare och postterminalarbetare, Brevbärare och postterminalarbetare
ssyk_443,ssyk_44,443,443  Övrig kontorspersonal, Övrig kontorspersonal
ssyk_511,ssyk_51,511,511  Kabinpersonal, tågmästare och guider m.fl., Kabinpersonal, tågmästare och guider m.fl.
ssyk_512,ssyk_51,512,512  Kockar och kallskänkor, Kockar och kallskänkor
ssyk_513,ssyk_51,513,513  Hovmästare, servitörer och bartendrar, Hovmästare, servitörer och bartendrar
ssyk_514,ssyk_51,514,514  Skönhets- och kroppsterapeuter, Skönhets- och kroppsterapeuter
ssyk_515,ssyk_51,515,515  Städledare och fastighetsskötare m.fl., Städledare och fastighetsskötare m.fl.
ssyk_516,ssyk_51,516,516  Övrig servicepersonal, Övrig servicepersonal
ssyk_521,ssyk_52,521,521  UTGÅR[], UTGÅR[]
ssyk_522,ssyk_52,522,522  Butikspersonal, Butikspersonal
ssyk_523,ssyk_52,523,523  Kassapersonal m.fl., Kassapersonal m.fl.
ssyk_524,ssyk_52,524,524  Eventsäljare och telefonförsäljare m.fl., Eventsäljare och telefonförsäljare m.fl.
ssyk_531,ssyk_53,531,531  Barnskötare och elevassistenter m.fl., Barnskötare och elevassistenter m.fl.
ssyk_532,ssyk_53,532,532  Undersköterskor, Undersköterskor
ssyk_533,ssyk_53,533,533  Vårdbiträden, Vårdbiträden
ssyk_534,ssyk_53,534,534  Skötare, vårdare och personliga assistenter m.fl., Skötare, vårdare och personliga assistenter m.fl.
ssyk_535,ssyk_53,535,535  Tandsköterskor, Tandsköterskor
ssyk_541,ssyk_54,541,541  Andra bevaknings- och säkerhetsyrken, Andra bevaknings- och säkerhetsyrken
ssyk_611,ssyk_61,611,611  Växtodlare inom jordbruk och trädgård, Växtodlare inom jordbruk och trädgård
ssyk_612,ssyk_61,612,612  Djuruppfödare och djurskötare, Djuruppfödare och djurskötare
ssyk_613,ssyk_61,613,613  Växtodlare och djuruppfödare, blandad drift, Växtodlare och djuruppfödare, blandad drift
ssyk_621,ssyk_62,621,621  Skogsarbetare, Skogsarbetare
ssyk_622,ssyk_62,622,622  Fiskodlare och fiskare, Fiskodlare och fiskare
ssyk_711,ssyk_71,711,711  Snickare, murare och anläggningsarbetare, Snickare, murare och anläggningsarbetare
ssyk_712,ssyk_71,712,712  Takmontörer, golvläggare och VVS-montörer m.fl., Takmontörer, golvläggare och VVS-montörer m.fl.
ssyk_713,ssyk_71,713,713  Målare, lackerare och skorstensfejare m.fl., Målare, lackerare och skorstensfejare m.fl.
ssyk_721,ssyk_72,721,721  Gjutare, svetsare och plåtslagare m.fl., Gjutare, svetsare och plåtslagare m.fl.
ssyk_722,ssyk_72,722,722  Smeder och verktygsmakare m.fl., Smeder och verktygsmakare m.fl.
ssyk_723,ssyk_72,723,723  Fordonsmekaniker och reparatörer m.fl., Fordonsmekaniker och reparatörer m.fl.
ssyk_731,ssyk_73,731,731  Finmekaniker och konsthantverkare m.fl., Finmekaniker och konsthantverkare m.fl.
ssyk_732,ssyk_73,732,732  Prepresstekniker, tryckare och bokbindare m.fl., Prepresstekniker, tryckare och bokbindare m.fl.
ssyk_741,ssyk_74,741,741  Installations- och industrielektriker m.fl., Installations- och industrielektriker m.fl.
