id,parent_id/id,code,name
sun_589,sun_58,589,Samhällsbyggnad och byggnadsteknik, övrig och ospecificerad utbildning
sun_620,sun_62,620,Lantbruk, trädgård, skog och fiske, allmän utbildning
sun_621,sun_62,621,Lantbruk
sun_622,sun_62,622,Trädgård
sun_623,sun_62,623,Skog
sun_624,sun_62,624,Fiske och vattenbruk
sun_629,sun_62,629,Lantbruk, trädgård, skog och fiske, övrig och ospecificerad utbildning
sun_640,sun_64,640,Djursjukvård
sun_720,sun_72,720,Hälso- och sjukvård, allmän utbildning
sun_721,sun_72,721,Medicin
sun_723,sun_72,723,Omvårdnad
sun_724,sun_72,724,Tandvård
sun_725,sun_72,725,Tekniskt inriktad vårdutbildning
sun_726,sun_72,726,Terapi, rehabilitering och kostbehandling
sun_727,sun_72,727,Farmaci
sun_729,sun_72,729,Hälso- och sjukvård, övrig och ospecificerad utbildning
sun_760,sun_76,760,Socialt arbete och socialt omsorgsarbete, allmän utbildning
sun_761,sun_76,761,Barn och ungdom
sun_762,sun_76,762,Socialt arbete
sun_769,sun_76,769,Socialt arbete och socialt omsorgsarbete, övrig och ospecificerad utbildning
sun_810,sun_81,810,Personliga tjänster, allmän utbildning
sun_811,sun_81,811,Hotell, restaurang och storhushåll
sun_812,sun_81,812,Turism, resor och fritid
sun_813,sun_81,813,Idrott och friskvård
sun_814,sun_81,814,Hushållstjänster och lokalvård
sun_815,sun_81,815,Hårvård, skönhetsvård och massage
sun_819,sun_81,819,Personliga tjänster, övrig och ospecificerad utbildning
sun_840,sun_84,840,Transporttjänster
sun_850,sun_85,850,Arbetsmiljö och renhållning, allmän utbildning
sun_851,sun_85,851,Arbetsmiljö och arbetarskydd
sun_852,sun_85,852,Renhållning och avfallshantering
sun_859,sun_85,859,Arbetsmiljö och renhållning, övrig och ospecificerad utbildning
sun_860,sun_86,860,Säkerhetstjänster, allmän utbildning
sun_861,sun_86,861,Säkerhet i samhället
sun_863,sun_86,863,Militär utbildning
sun_869,sun_86,869,Säkerhetstjänster, övrig och ospecificerad utbildning
sun_999,sun_99,999,Okänd
sun_010a,sun_010,010a,Bred, generell utbildning, allmän inriktning
sun_010b,sun_010,010b,Bred, generell utbildning, samhällsvetenskaplig och humanistisk inriktning
sun_010c,sun_010,010c,Bred, generell utbildning, naturvetenskaplig inriktning
sun_010x,sun_010,010x,Bred, generell utbildning, annan inriktning
sun_080z,sun_080,080z,Läs- och skrivinlärning för vuxna
sun_090z,sun_090,090z,Personlig utveckling
sun_140z,sun_140,140z,Pedagogik och lärarutbildning, allmän utbildning
sun_142z,sun_142,142z,Pedagogik
sun_143a,sun_143,143a,Lärarutbildning, förskola
sun_143b,sun_143,143b,Lärarutbildning, fritidsverksamhet
sun_143x,sun_143,143x,Annan lärarutbildning för förskola och fritidsverksamhet
sun_144a,sun_144,144a,Lärarutbildning, grundskolans tidiga åldrar, allmän ämnesinriktning
sun_144b,sun_144,144b,Lärarutbildning, grundskolans tidiga åldrar, matematik och naturorienterande ämnen                  
sun_144c,sun_144,144c,Lärarutbildning, grundskolans tidiga åldrar, svenska och samhällsorienterade ämnen                    
sun_144d,sun_144,144d,Lärarutbildning, grundskolans tidiga åldrar, praktisk-estetiska ämnen                    
sun_144x,sun_144,144x,Annan lärarutbildning för grundskolans tidiga åldrar
sun_145a,sun_145,145a,Ämneslärarutbildning, matematik, data, naturvetenskap och teknik                             
sun_145b,sun_145,145b,Ämneslärarutbildning, historia, samhällsvetenskap och företagsekonomi                        
sun_145c,sun_145,145c,Ämneslärarutbildning, språk                                                     
sun_145d,sun_145,145d,Ämneslärarutbildning, matematik, data, naturvetenskap och teknik i kombination med historia, samhällsvetenskap och företagsekonomi
sun_145e,sun_145,145e,Ämneslärarutbildning, matematik, data, naturvetenskap och teknik i kombination med språk
sun_145f,sun_145,145f,Ämneslärarutbildning, historia, samhällsvetenskap och företagsekonomi i kombination med språk
sun_145g,sun_145,145g,Ämneslärarutbildning, matematik, data, naturvetenskap och teknik i kombination med praktisk-estetiska ämnen
sun_145h,sun_145,145h,Ämneslärarutbildning, historia, samhällsvetenskap och företagsekonomi i kombination med praktisk-estetiska ämnen                       
sun_145i,sun_145,145i,Ämneslärarutbildning, språk, i kombination med praktisk-estetiska ämnen                       
sun_145x,sun_145,145x,Annan ämneslärarutbildning  
sun_146a,sun_146,146a,Lärarutbildning, industri och hantverk                                          
sun_146b,sun_146,146b,Lärarutbildning, handel och administration                                      
sun_146c,sun_146,146c,Lärarutbildning, hotell och restaurang                                          
sun_146d,sun_146,146d,Lärarutbildning, naturbruk                                                      
sun_146e,sun_146,146e,Lärarutbildning, vård och omsorg                                                
sun_146f,sun_146,146f,Lärarutbildning, medieproduktion                                                
sun_146g,sun_146,146g,Lärarutbildning, musik                                                          
sun_146h,sun_146,146h,Lärarutbildning, bild och formkonst                                             
sun_146i,sun_146,146i,Lärarutbildning, dans och teater                                                
sun_146j,sun_146,146j,Lärarutbildning, trä- och metallslöjd samt textilslöjd                          
sun_146k,sun_146,146k,Lärarutbildning, idrott och hälsa                                               
sun_146l,sun_146,146l,Lärarutbildning, hem- och konsumentkunskap                                              
sun_146x,sun_146,146x,Lärarutbildning i annat yrkesämne och praktisk-estetiska ämnen                
sun_149a,sun_149,149a,Specialpedagogutbildning                                          
sun_149b,sun_149,149b,Modersmålslärarutbildning                                      
sun_149c,sun_149,149c,Skolledarutbildning                                          
sun_149d,sun_149,149d,Speciallärarutbildning                                          
sun_149x,sun_149,149x,Annan utbildning inom pedagogik och lärarutbildning
sun_210z,sun_210,210z,Konst och media, allmän utbildning
sun_211a,sun_211,211a,Bild- och formkonstnärlig utbildning
sun_211b,sun_211,211b,Konstvetenskap och konsthistoria
sun_211x,sun_211,211x,Annan utbildning inom bild- och formkonst
sun_212a,sun_212,212a,Musik
sun_212b,sun_212,212b,Dans, teater och dramatik
sun_212c,sun_212,212c,Musik-, dans-, film- och teatervetenskap samt -historia
sun_212x,sun_212,212x,Annan utbildning inom musik, dans och dramatik
sun_213a,sun_213,213a,Medieproduktion, allmän utbildning
sun_213b,sun_213,213b,Film-, radio- och tv-produktion
sun_213c,sun_213,213c,Grafisk teknik
sun_213d,sun_213,213d,Grafisk design och foto
sun_213x,sun_213,213x,Annan utbildning inom medieproduktion
sun_214a,sun_214,214a,Modedesign
sun_214b,sun_214,214b,Inredningsarkitektur och inredningsdesign
sun_214c,sun_214,214c,Industri- och produktdesign
sun_214x,sun_214,214x,Annan utbildning inom formgivning
sun_215z,sun_215,215z,Konsthantverk
sun_219z,sun_219,219z,Konst och media, övrig och ospecificerad utbildning
sun_220z,sun_220,220z,Humaniora, allmän utbildning
sun_221a,sun_221,221a,Religionsvetenskap och teologi
sun_221b,sun_221,221b,Pastors-, missionärs- och diakonutbildning
sun_221x,sun_221,221x,Annan utbildning i religion
sun_222a,sun_222,222a,Allmän språkkunskap och allmänt språkliga utbildningar                          
sun_222b,sun_222,222b,Engelska
sun_222c,sun_222,222c,Tyska
sun_222d,sun_222,222d,Franska
sun_222e,sun_222,222e,Spanska
sun_222f,sun_222,222f,Ryska
sun_222g,sun_222,222g,Svenska som främmande språk
sun_222h,sun_222,222h,Arabiska
sun_222i,sun_222,222i,Kinesiska
sun_222j,sun_222,222j,Japanska
sun_222k,sun_222,222k,Översättning och tolkning
sun_222x,sun_222,222x,Annan utbildning i främmande språk                                              
sun_223a,sun_223,223a,Svenska och nordiska språk                          
sun_223b,sun_223,223b,Svenska minoritetsspråk
sun_223c,sun_223,223c,Modersmålsutbildning och teckenspråk
sun_223d,sun_223,223d,Litteraturvetenskap och litteraturhistoria
sun_223x,sun_223,223x,Annan utbildning i svenska och litteraturvetenskap 
sun_225a,sun_225,225a,Historia
sun_225b,sun_225,225b,Arkeologi
sun_225c,sun_225,225c,Kulturvård, kulturadministration och museivetenskap
sun_225x,sun_225,225x,Annan utbildning inom historia och arkeologi
sun_226z,sun_226,226z,Filosofi och logik
sun_229z,sun_229,229z,Humaniora, övrig och ospecificerad utbildning
sun_310a,sun_310,310a,Beteendevetenskap, allmän utbildning
sun_310b,sun_310,310b,Samhällsvetenskap, allmän utbildning
sun_310x,sun_310,310x,Annan bred utbildning i samhälls- och beteendevetenskap
sun_311a,sun_311,311a,Psykologutbildning
