id;parent_id/id;name;description
activity_cat_3100;activity_cat_3000;Tjänst: Min profil;
;;;
activity_cat_3110;activity_cat_3100;Göra Intresseguide ;Självservice
activity_cat_3111;activity_cat_3100;Lyssna på vår podcast ;Självservice
activity_cat_3112;activity_cat_3100;Komplettera dina meriter ;Självservice
activity_cat_3113;activity_cat_3100;Skapa en profil ;Självservice
activity_cat_3114;activity_cat_3100;Läsa på om validering ;Självservice
activity_cat_3115;activity_cat_3100;Självskatta kompetenser ;Självservice
activity_cat_3116;activity_cat_3100;Att välja yrke ;Självservice
activity_cat_3117;activity_cat_3100;Inspelade webbinarier ;Självservice
;;;
;;;
activity_cat_3120;activity_cat_3100;Kartläggningssamtal/planeringssamtal med arbetsförmedlare ;Personlig service:
activity_cat_3121;activity_cat_3100;Verifiera meriter ;Kartläggningssamtal/planeringssamtal med arbetsförmedlare 
;;;
;;;
;;;
;;;
;;;
activity_cat_3200;activity_cat_3000;Tjänst: Koll på arbetsmarknaden;
;;;
activity_cat_3210;activity_cat_3200;Yrkeskompassen;Självservice
;;;
;;;
activity_cat_3220;activity_cat_3200;Information om arbetsliv och hälsa (AR);Personlig service
activity_cat_3221;activity_cat_3200;Samtal med arbetsförmedlare;Personlig service
;;;
;;;
;;;
;;;
activity_cat_3300;activity_cat_3000;Tjänst: Karriärvägledning;
;;;
activity_cat_3310;activity_cat_3300;Göra Intresseguide ;
activity_cat_3311;activity_cat_3300;Läsa på om validering ;Självservice
activity_cat_3312;activity_cat_3300;Karriärvägledning på egen hand ;Självservice
activity_cat_3313;activity_cat_3300;Hitta yrken ;Självservice
activity_cat_3314;activity_cat_3300;Framtidsutsikter ;Självservice
activity_cat_3315;activity_cat_3300;Utbildning ;Självservice
;;;
;;;
;;;
activity_cat_3320;activity_cat_3300;Yrkesvägledningssamtal ;Personlig service
activity_cat_3321;activity_cat_3300;Gruppvägledning ;Personlig service
activity_cat_3322;activity_cat_3300;Motiverande samtal med arbetsförmedlare ;Personlig service
;;;
;;;
;;;
;;;
;;;
activity_cat_3300;activity_cat_3000;Tjänst: Hitta utbildning;
;;;
activity_cat_3310;activity_cat_3300;Svenska för invandrare, Sfi ;Självservice
activity_cat_3311;activity_cat_3300;Varför ska jag utbilda mig? ;Självservice
activity_cat_3312;activity_cat_3300;Yrkesutbildning  ;Självservice
activity_cat_3313;activity_cat_3300;Allmän utbildning ;Självservice
activity_cat_3314;activity_cat_3300;Arbetsmarknadsutbildning ;Självservice
;;;
;;;
activity_cat_3320;activity_cat_3300;Anvisning att söka reguljär utbildning ;Personlig service
activity_cat_3321;activity_cat_3300;Anpassa min studieplats ;Personlig service
activity_cat_3322;activity_cat_3300;Samtal med arbetsförmedlare ;Personlig service
activity_cat_3323;activity_cat_3300;Yrkesvägledning med psykolog  ;Personlig service
;;;
;;;
activity_cat_4000;activity_cat_1000;Erbjudande: Starta eget;
;;;
activity_cat_4100;activity_cat_4000;Tjänst: Utveckla aﬀärsidén;
;;;
activity_cat_4110;activity_cat_4100;Läs mer om att starta eget på verksamt.se ;Självservice
activity_cat_4112;activity_cat_4100;Inspiration till starta eget ;Självservice
activity_cat_4113;activity_cat_4100;Skatteverket ;Självservice
activity_cat_4114;activity_cat_4100;Bolagsverket ;Självservice
;;;
;;;
activity_cat_4120;activity_cat_4100;Samtal med arbetsförmedlare ;Personlig service
;;;
;;;
;;;
;;;
activity_cat_4200;activity_cat_4000;Tjänst: Kom igång med verksamheten;
;;;
activity_cat_4210;activity_cat_4200;Läs mer om starta eget på verksamt.se ;Självservice
activity_cat_4211;activity_cat_4200;Inspiration till Starta eget ;Självservice
activity_cat_4212;activity_cat_4200;Skatteverket ;Självservice
activity_cat_4213;activity_cat_4200;Bolagsverket ;Självservice
activity_cat_4214;activity_cat_4200;Läs om stöd från Arbetsförmedlingen när man ska starta eget ;Självservice
activity_cat_4215;activity_cat_4200;Starta företag-dagen ;Självservice
activity_cat_4216;activity_cat_4200;Viktigt att tänka på när man startar eget företag ;Självservice
activity_cat_4217;activity_cat_4200;ALMI ;Självservice
;;;
;;;
activity_cat_4220;activity_cat_4200;Samtal med arbetsförmedlare ;Personlig service
activity_cat_4221;activity_cat_4200;Genomgång av ergonomi och arbetsmiljö;Personlig service
;;;
;;;
;;;
;;;
;;;
;;;
